Model,Article_ID,Left_Score,Center_Score,Right_Score
GPT-2,358,0.005777277,0.819166005,0.175056741
GPT-2,359,0.001472835,0.870295048,0.128232107
GPT-2,360,0.003146081,0.402608603,0.594245374
GPT-2,361,0.000632455,0.002179299,0.99718827
GPT-2,362,0.000401488,0.998557866,0.001040686
GPT-2,363,0.004931631,0.00303058,0.992037773
GPT-2,364,0.000381781,0.997603714,0.002014572
GPT-2,365,0.999476969,0.000234578,0.000288402
GPT-2,366,0.000550823,0.999337375,0.000111829
GPT-2,367,0.00039322,0.000412622,0.999194205
GPT-2,368,0.000521632,0.999364078,0.000114257
GPT-2,369,0.002979595,0.777624309,0.219396144
GPT-2,370,0.000347753,0.999269426,0.000382817
GPT-2,371,0.000453944,0.00053202,0.99901402
GPT-2,372,0.000586969,0.992316723,0.007096304
GPT-2,373,0.994703472,0.004213306,0.001083268
GPT-2,374,0.000798573,0.014665506,0.984535992
GPT-2,375,0.000360338,0.998799443,0.000840152
GPT-2,376,0.000495007,0.999383807,0.000121122
GPT-2,377,0.000293183,0.999468863,0.00023797
GPT-2,378,0.001314026,0.00202614,0.996659875
GPT-2,379,0.000427684,0.0005028,0.999069512
GPT-2,380,0.002291505,0.04575127,0.951957226
GPT-2,381,0.000596421,0.000445629,0.998957992
GPT-2,382,0.000599721,0.000716168,0.998684108
GPT-2,383,0.000601292,0.002540222,0.996858478
GPT-2,384,0.992339373,0.001880241,0.00578042
GPT-2,385,0.000733049,0.000410485,0.998856544
GPT-2,386,0.001610231,0.441045344,0.557344437
GPT-2,387,0.000543728,0.997773349,0.001682848
GPT-2,388,0.001054148,0.014858097,0.984087765
GPT-2,389,0.000541074,0.99834621,0.001112745
GPT-2,390,0.000357877,0.001016077,0.998626113
GPT-2,391,0.001930874,0.13911663,0.858952463
GPT-2,392,0.000470876,0.999389887,0.000139238
GPT-2,393,0.001214976,0.023133736,0.975651324
GPT-2,394,0.001633025,0.249879703,0.748487234
GPT-2,395,0.000503674,0.000808325,0.998687923
GPT-2,396,0.000789427,0.998938024,0.00027251
GPT-2,397,0.000850519,0.000480227,0.998669267
GPT-2,398,0.000837632,0.005004734,0.994157672
GPT-2,399,0.984909117,0.003376722,0.011714119
GPT-2,400,0.000394195,0.000986655,0.998619199
GPT-2,401,0.00037642,0.997905374,0.001718252
GPT-2,402,0.000629867,0.000458484,0.998911738
GPT-2,403,0.000712034,0.000988191,0.998299778
GPT-2,404,0.002940731,0.560304821,0.436754495
GPT-2,405,0.015987171,0.495425969,0.488586873
GPT-2,406,0.000903575,0.015165135,0.983931243
GPT-2,407,0.001997515,0.879600108,0.118402414
GPT-2,408,0.000661087,0.989818394,0.009520524
GPT-2,409,0.00331188,0.531722426,0.464965701
GPT-2,410,0.001480507,0.994375348,0.004144157
GPT-2,411,0.001046155,0.000270264,0.998683631
GPT-2,412,0.000571651,0.999195039,0.000233354
GPT-2,413,0.000545158,0.999307752,0.000147096
GPT-2,414,0.000431271,0.999420762,0.000147942
GPT-2,415,0.000524114,0.990486681,0.008989202
GPT-2,416,0.000262674,0.998600423,0.001136897
GPT-2,417,0.001013226,0.934080899,0.064905874
GPT-2,418,0.209881619,0.770865977,0.019252453
GPT-2,419,0.001721244,0.858099639,0.140179113
GPT-2,420,0.996155083,0.001068,0.002776874
GPT-2,421,0.039856203,0.952600002,0.007543818
GPT-2,422,0.000439612,0.999183118,0.000377222
GPT-2,423,0.000396883,0.998004615,0.001598476
GPT-2,424,0.000526075,0.000611263,0.998862743
GPT-2,425,0.001015958,0.998596132,0.000387855
GPT-2,426,0.000553927,0.999333322,0.000112772
GPT-2,427,0.000492015,0.001753308,0.997754633
