neuron_id,layer,pearson_correlation
70,1,0.098687391
70,2,0.003516505
70,3,0.329802537
70,4,-0.273545766
70,5,-0.102622199
70,6,-0.199151459
70,7,-0.1401711
70,8,-0.352098689
70,9,-0.619054308
70,10,-0.232027448
70,11,-0.522514078
70,12,0.641247836
71,1,0.517632413
71,2,0.675699328
71,3,0.238112706
71,4,0.353844314
71,5,-0.094306534
71,6,0.256763524
71,7,0.437537872
71,8,0.261848312
71,9,0.208725877
71,10,0.121948986
71,11,0.600501558
71,12,0.740016526
72,1,-0.410757194
72,2,-0.309712174
72,3,0.222211608
72,4,0.540469036
72,5,-0.295825886
72,6,-0.047381398
72,7,-0.045920612
72,8,-0.18192789
72,9,-0.218807594
72,10,-0.070718114
72,11,-0.383431453
72,12,-0.362778723
73,1,0.389287374
73,2,0.101114466
73,3,-0.02801203
73,4,-0.263555953
73,5,0.172203466
73,6,0.380064612
73,7,0.506462739
73,8,0.224500967
73,9,-0.224214334
73,10,-0.447983656
73,11,0.25585083
73,12,0.275407127
74,1,-0.023419587
74,2,-0.602819415
74,3,0.13326315
74,4,0.302646692
74,5,0.477400115
74,6,0.177807381
74,7,-0.545187031
74,8,0.127714638
74,9,-0.230852829
74,10,0.15698329
74,11,0.205715128
74,12,-0.154127246
75,1,0.399451747
75,2,-0.062467225
75,3,0.52386774
75,4,0.736162407
75,5,0.073476455
75,6,-0.565181878
75,7,-0.350964646
75,8,0.879510219
75,9,-0.227850658
75,10,0.365155222
75,11,0.644554657
75,12,-0.063851853
76,1,-0.432619057
76,2,-0.657276201
76,3,-0.324060834
76,4,-0.146201585
76,5,-0.205999881
76,6,0.37181685
76,7,0.078017832
76,8,0.325289664
76,9,-0.231000559
76,10,-0.360998387
76,11,0.034378146
76,12,0.136200207
77,1,0.409759168
77,2,0.135000287
77,3,0.229384724
77,4,0.217984562
77,5,0.238273978
77,6,0.218043179
77,7,0.484073281
77,8,0.239508791
77,9,0.354709146
77,10,0.357454093
77,11,-0.268212603
77,12,0.199646984
78,1,-0.043084819
78,2,0.14547426
78,3,-0.16099368
78,4,-0.211867906
78,5,-0.239098175
78,6,-0.473863044
78,7,-0.373607195
78,8,-0.247374584
78,9,-0.483625065
78,10,-0.429038591
