neuron_id,layer,pearson_correlation
42,2,-0.682221484
42,3,0.63707116
42,4,-0.23057308
42,5,0.530767918
42,6,0.492463482
42,7,-0.705785885
42,8,-0.299200365
42,9,0.32873346
42,10,0.824171394
42,11,0.635989554
42,12,0.302320698
43,1,0.161708409
43,2,0.244647837
43,3,0.072924657
43,4,0.317215244
43,5,0.697257286
43,6,0.186799593
43,7,0.493781285
43,8,0.467715191
43,9,0.559593812
43,10,-0.466279934
43,11,-0.254808818
43,12,0.373125454
44,1,0.17072205
44,2,0.616096929
44,3,0.275157104
44,4,0.322787581
44,5,-0.131497718
44,6,-0.180062027
44,7,0.576972384
44,8,0.294647997
44,9,0.609043568
44,10,0.436889265
44,11,0.610071474
44,12,0.562780907
45,1,0.742667991
45,2,-0.462757922
45,3,-0.201966614
45,4,0.082382909
45,5,0.375583094
45,6,-0.722472508
45,7,-0.494497728
45,8,0.629941802
45,9,-0.64537897
45,10,-0.355342153
45,11,-0.775507203
45,12,0.197819451
46,1,-0.687410679
46,2,-0.195315935
46,3,0.466625319
46,4,-0.352577253
46,5,-0.179414395
46,6,0.029791872
46,7,-0.670830141
46,8,0.172593692
46,9,-0.482108862
46,10,-0.652931165
46,11,-0.594259956
46,12,-0.081396047
47,1,0.698182499
47,2,0.417955322
47,3,0.360505422
47,4,-0.111823718
47,5,0.277290459
47,6,0.614332987
47,7,0.455566869
47,8,0.023297072
47,9,0.030831061
47,10,-0.045186519
47,11,0.031866887
47,12,0.057799361
48,1,-0.231038024
48,2,0.629923446
48,3,-0.034806418
48,4,0.162481768
48,5,0.256214179
48,6,0.148251774
48,7,0.605953425
48,8,-0.370567305
48,9,0.437438585
48,10,0.296214249
48,11,0.587165324
48,12,0.168121965
49,1,-0.147707235
49,2,0.452660762
49,3,0.056999599
49,4,0.325571615
49,5,0.268803019
49,6,0.512642459
49,7,0.354775687
49,8,0.263213507
49,9,0.258190101
49,10,-0.612821771
49,11,0.32155947
49,12,0.049393042
50,1,0.633379359
50,2,-0.097218162
50,3,0.756048177
50,4,0.553381382
50,5,0.073062981
50,6,0.355957256
50,7,0.371383981
50,8,0.601474399
50,9,-0.186525005
50,10,0.097504437
50,11,0.452119383
50,12,0.365796613
51,1,0.520793403
51,2,0.694225664
51,3,0.707197737
51,4,0.622311922
51,5,0.37014674
51,6,-0.271299155
51,7,-0.112519599
51,8,-0.241947685
51,9,0.587640342
51,10,0.350288579
51,11,0.58522181
51,12,-0.538130501
52,1,0.306148652
52,2,0.197811191
52,3,0.004096491
52,4,0.367536747
52,5,-0.38172746
52,6,0.448148095
52,7,0.4842605
52,8,0.353264018
52,9,0.632724992
52,10,0.28128377
52,11,0.652687122
52,12,0.600711705
53,1,-0.258253969
53,2,0.142333107
53,3,0.250177999
53,4,-0.619286392
53,5,-0.6432292
53,6,-0.053927635
53,7,0.662592866
53,8,0.013539795
53,9,-0.502296392
53,10,0.389849883
53,11,-0.796820179
53,12,-0.106068785
54,1,0.093795195
54,2,-0.11550097
54,3,-0.110767062
54,4,-0.546316542
54,5,0.297378344
54,6,-0.027818366
54,7,0.437147685
54,8,-0.305876257
54,9,0.6285016
54,10,0.352540061
54,11,0.22091366
54,12,-0.206937883
55,1,0.221816144
55,2,0.046783862
55,3,0.495400949
55,4,0.441060718
55,5,0.631201071
55,6,0.195816046
55,7,0.048087235
55,8,-0.255527552
55,9,0.378893842
55,10,0.660692128
55,11,-0.544682699
55,12,0.17933768
56,1,0.671840852
56,2,0.052375732
56,3,0.390857313
56,4,-0.046241155
56,5,0.29113069
56,6,0.310656686
56,7,0.168578622
56,8,0.616477657
56,9,0.160346537
56,10,0.322017134
56,11,0.026724897
56,12,-0.111167464
57,1,0.126943514
57,2,-0.172831949
57,3,-0.467797033
57,4,-0.723432067
57,5,-0.106122742
57,6,-0.459889997
57,7,-0.173316053
57,8,-0.576619396
57,9,-0.030249463
57,10,0.149590706
57,11,0.578187357
57,12,0.271301441
58,1,0.365573899
58,2,0.546912966
58,3,-0.037538129
58,4,0.256056076
58,5,-0.342965379
58,6,-0.097819959
58,7,0.211791669
58,8,-0.453539708
58,9,-0.631298753
58,10,0.329894435
58,11,-0.243370298
58,12,0.254790386
59,1,-0.471187495
59,2,-0.080093536
59,3,0.271560839
59,4,-0.248979067
59,5,0.601757442
59,6,-0.283912139
59,7,0.635321293
59,8,-0.378742713
59,9,0.493109906
59,10,-0.316717671
59,11,-0.086499673
59,12,-0.417183614
60,1,0.463995164
60,2,-0.092174016
60,3,0.005497991
60,4,-0.443571082
60,5,0.123730956
60,6,-0.686131531
60,7,-0.172774817
60,8,-0.29853255
60,9,0.514204837
60,10,-0.389735909
60,11,-0.460862664
60,12,-0.350004149
61,1,0.555639331
61,2,-0.392322599
61,3,0.18368939
61,4,0.404317087
61,5,-0.316609461
61,6,0.760451272
61,7,0.135970379
61,8,0.153371428
61,9,0.426135032
61,10,-0.291068464
61,11,-0.076153277
61,12,-0.809945603
62,1,-0.057769308
62,2,-0.646993101
62,3,0.320724723
62,4,-0.133674631
62,5,0.077396593
62,6,-0.447363468
62,7,-0.530254422
62,8,-0.226794855
62,9,-0.579617672
62,10,0.254359035
62,11,-0.232753864
62,12,0.185596892
63,1,-0.010133974
63,2,-0.50897991
63,3,0.286559651
63,4,0.262188248
63,5,0.25615091
63,6,0.47990397
63,7,-0.053635831
63,8,0.643818987
63,9,-0.202019329
63,10,0.481347929
63,11,-0.017424283
63,12,0.33495527
64,1,0.130098008
64,2,0.193568067
64,3,-0.211091935
64,4,-0.400240151
64,5,-0.74801827
64,6,0.025912453
64,7,-0.559591623
64,8,-0.298763144
64,9,-0.510539242
64,10,0.694944989
64,11,-0.221107189
64,12,0.018469579
65,1,0.410115877
65,2,-0.592652942
65,3,-0.383235143
65,4,-0.356629275
65,5,-0.320966783
65,6,-0.380549469
65,7,-0.310259607
65,8,-0.327361536
65,9,-0.388704079
65,10,-0.40749875
65,11,-0.370505506
65,12,0.244579376
66,1,0.416085921
66,2,-0.497578888
66,3,-0.054710708
66,4,-0.096698508
66,5,0.253798065
66,6,-0.163514208
66,7,0.089068545
66,8,0.634409585
66,9,0.200880343
66,10,0.66838861
66,11,-0.129026258
66,12,0.10563809
67,1,-0.652666369
67,2,-0.171994587
67,3,0.674759472
67,4,0.199247781
67,5,-0.381672045
67,6,0.373970721
67,7,-0.417694114
67,8,-0.364960294
67,9,0.537350984
67,10,-0.175948438
67,11,-0.426448436
67,12,0.119975575
68,1,0.392632016
68,2,0.44709675
68,3,0.365333489
68,4,0.428781358
68,5,0.586756996
68,6,0.537845042
68,7,0.464608888
68,8,0.702953653
68,9,0.668383232
68,10,0.489460873
68,11,0.595837458
68,12,0.441903666
69,1,-0.037802036
69,2,-0.307994311
69,3,0.325146942
69,4,0.40779069
69,5,0.119726374
69,6,0.141175431
69,7,-0.357352199
69,8,0.094485116
69,9,-0.24983472
69,10,-0.340642469
69,11,-0.135286604
69,12,-0.464661163
70,1,-0.686239383
70,2,-0.558849358
70,3,-0.677073705
70,4,0.407668426
70,5,-0.397233805
70,6,0.239315231
70,7,-0.457786839
70,8,-0.289401207
70,9,0.341544232
70,10,0.2560143
70,11,-0.228347637
70,12,-0.272120635
71,1,0.146863885
71,2,-0.306678203
71,3,0.5393452
71,4,0.578024587
71,5,0.606783128
71,6,0.353581938
71,7,0.320102155
71,8,0.323015231
71,9,0.719902223
71,10,0.300484395
71,11,-0.006126685
71,12,-0.318949275
72,1,0.096510041
72,2,-0.206702527
72,3,-0.615727585
72,4,-0.499950339
72,5,-0.521802773
72,6,-0.372662557
72,7,-0.492571265
72,8,-0.463801754
72,9,-0.244172335
72,10,-0.397972534
72,11,0.219695387
72,12,0.171220165
73,1,0.643495483
73,2,0.374851735
73,3,0.169754257
73,4,-0.565372809
73,5,-0.222951345
73,6,-0.474694928
73,7,-0.221089324
73,8,0.405572649
73,9,-0.455898706
73,10,0.341092561
73,11,0.38439713
73,12,0.667451303
74,1,-0.194496905
74,2,0.250084764
74,3,-0.172124233
74,4,0.720997645
74,5,-0.531414549
74,6,-0.349175169
74,7,-0.064325504
74,8,-0.528567285
74,9,0.074541619
74,10,0.085094966
74,11,-0.506981582
74,12,0.050018965
75,1,0.707971955
75,2,0.499168731
75,3,-0.474680546
75,4,-0.089273231
75,5,0.498359727
75,6,-0.529956788
75,7,-0.486882652
75,8,0.049736339
75,9,0.460058636
75,10,-0.274059026
75,11,-0.238434733
75,12,-0.56083729
76,1,-0.377645188
76,2,-0.176890134
76,3,-0.673577848
76,4,-0.03374284
76,5,-0.492685597
76,6,0.518368146
76,7,-0.484996112
76,8,0.182937631
76,9,-0.625286208
76,10,0.210203859
76,11,-0.319696968
76,12,0.129970359
77,1,0.454157671
77,2,0.499477544
77,3,0.407567445
77,4,0.427986739
77,5,0.281475289
77,6,0.553162686
77,7,0.106618679
77,8,0.316072993
77,9,0.61544258
77,10,0.718720853
77,11,0.102772631
77,12,0.178708646
78,1,-0.462140582
78,2,-0.337987821
78,3,0.207886828
78,4,0.121623613
78,5,-0.704117055
78,6,0.001406429
78,7,-0.552105773
78,8,0.288815391
78,9,-0.276183354
78,10,-0.424201909
78,11,-0.334654252
78,12,-0.05570468
79,1,-0.289249304
79,2,-0.488798734
79,3,0.183162968
79,4,-0.15072012
79,5,-0.162897477
79,6,-0.249293674
79,7,0.035033335
79,8,-0.695907803
79,9,-0.14663754
79,10,0.17373282
79,11,-0.182215502
79,12,0.169647723
80,1,-0.453487586
80,2,0.145798156
80,3,0.815711485
80,4,-0.162717166
80,5,-0.112051925
80,6,-0.461503198
80,7,-0.289985531
80,8,0.291423312
80,9,-0.274487232
80,10,-0.725237425
80,11,-0.461546841
80,12,-0.290789756
81,1,-0.562585295
81,2,0.623177697
81,3,0.518911869
81,4,0.233792288
81,5,0.510280657
81,6,0.475594316
81,7,0.207935356
81,8,0.571568104
81,9,0.18943149
81,10,0.040576503
81,11,0.625295207
81,12,0.515458562
82,1,0.279025103
82,2,-0.288365669
82,3,0.425595297
82,4,0.662740355
82,5,0.164698685
82,6,0.045020431
82,7,0.384813554
82,8,0.65604343
82,9,0.228236761
82,10,-0.096271128
82,11,0.649344819
82,12,0.256595075
83,1,-0.230066312
83,2,-0.679161575
83,3,-0.406408744
83,4,-0.299166633
83,5,0.504456206
83,6,-0.362846959
83,7,0.243890106
83,8,-0.640735014
83,9,-0.207553934
83,10,0.669765666
83,11,0.25156395
83,12,0.249216665
84,1,-0.361958368
84,2,-0.432256311
84,3,-0.419602045
84,4,-0.448151504
84,5,-0.676639513
84,6,-0.197722998
84,7,-0.192078073
84,8,-0.001646006
84,9,0.322036253
84,10,-0.153693601
84,11,-0.466594477
84,12,0.071170814
85,1,-0.550278385
85,2,0.321363969
85,3,-0.130030292
85,4,-0.503957227
85,5,-0.643934241
85,6,-0.391158502
85,7,-0.162800815
85,8,-0.243106536
85,9,0.622124135
85,10,0.221691567
85,11,-0.534582524
85,12,-0.588414994
86,1,-0.103915062
86,2,-0.664402619
86,3,-0.747568309
86,4,-0.522931214
86,5,0.161781918
86,6,0.57957885
86,7,0.322432784
86,8,0.696052275
86,9,-0.108480956
86,10,0.611076995
86,11,-0.531742186
86,12,-0.174581066
87,1,-0.245196627
87,2,0.420450741
87,3,0.359510788
87,4,0.686802235
87,5,-0.344485584
87,6,0.101587903
87,7,0.466405279
87,8,0.327999063
87,9,0.200438013
87,10,0.543545722
87,11,-0.402973931
87,12,0.256983683
88,1,-0.586176369
88,2,-0.073598381
88,3,0.563970288
88,4,0.702732282
88,5,0.399925119
88,6,0.670972451
88,7,0.670997567
88,8,-0.222721405
88,9,-0.165645998
88,10,0.531894167
88,11,-0.090023105
88,12,0.064835894
89,1,-0.561404561
89,2,0.610383163
89,3,-0.371987436
89,4,-0.14066471
89,5,-0.536350887
89,6,-0.703705753
89,7,-0.662473035
89,8,0.103757983
89,9,-0.026166995
89,10,0.158467559
89,11,0.220655029
89,12,-0.105813606
90,1,0.311114228
90,2,0.266156357
90,3,0.549257855
90,4,0.3826936
90,5,0.397193537
90,6,0.393788562
90,7,-0.245636792
90,8,0.33301063
90,9,0.187938924
90,10,-0.16304402
90,11,0.700308737
90,12,0.576517271
91,1,-0.265329177
91,2,0.230412348
91,3,0.03139518
91,4,0.23552198
91,5,-0.44397472
91,6,-0.192217588
91,7,0.276363798
91,8,-0.306572788
91,9,0.050984202
91,10,0.563445988
91,11,-0.338884193
91,12,-0.036612041
92,1,0.43881837
92,2,-0.088374391
92,3,0.234557965
92,4,-0.16894779
92,5,0.675890287
92,6,0.211332461
92,7,-0.175514895
92,8,0.332425204
92,9,-0.468590985
92,10,-0.492834017
92,11,0.118788322
92,12,0.052937324
93,1,0.475051409
93,2,0.550357133
93,3,-0.672327925
93,4,0.077889541
93,5,-0.233525299
93,6,-0.270957985
93,7,-0.279505092
93,8,-0.418999623
93,9,-0.027023465
93,10,-0.521966737
93,11,0.002246182
93,12,-0.215715774
94,1,0.049561433
94,2,0.018379491
94,3,0.319654371
94,4,-0.004615451
94,5,-0.328726114
94,6,-0.120528872
94,7,-0.177681554
94,8,-0.176917221
94,9,0.701915301
94,10,-0.408798608
94,11,-0.058678301
94,12,-0.018025886
95,1,-0.452806194
95,2,0.565402474
95,3,-0.624412172
95,4,-0.393367588
95,5,-0.187939615
95,6,-0.122466467
95,7,-0.630643486
95,8,-0.080277526
95,9,-0.518789489
95,10,-0.160961638
95,11,-0.346416161
95,12,0.18875427
96,1,-0.412622693
96,2,-0.600552298
96,3,0.759095391
96,4,-0.079993042
96,5,0.029010648
96,6,0.38343825
96,7,0.519258852
96,8,0.534783689
96,9,0.083582348
96,10,-0.499089819
96,11,0.204018075
